Gopal Mondal 14
Rahul 8
Babloo 6
Sayan 6
Samol 8
Ayan Kumar 20
Kaccha Badam 18
Joy Baba Felu 6
Abhishek Das 10
BulBul 4
Tester 8
hfh 8
hff 10
Billi 4
